Employee,JobFamily,Total Benefits,Total Compensation,Percentage 
20907,Street Transit,8728.741666666667,26845.55,32.51466878744026
1860,Nursing,25188.067499999997,77472.84749999999,32.512123037687495
33509,Housekeeping & Laundry,19698.41875,60589.261249999996,32.511402752909454
29322,Nursing,29524.785,90814.28874999999,32.51116691700127
19324,Protection & Apprehension,21979.69,67607.165,32.51088845390869
6240,Dietary & Food,11845.684285714286,36436.87,32.51015876422504
19794,Street Transit,32739.4275,100705.985,32.509912394978315
48283,Street Transit,27947.43375,85969.37875,32.50859103131532
1659,Street Transit,13766.102499999999,42347.9825,32.507103496606945
14314,Street Transit,39588.71375000001,121785.90625,32.506810491464414
33765,Street Transit,29503.678999999996,90768.03099999999,32.50448277323544
13720,Street Transit,33336.275,102560.48,32.50401616685102
23623,Street Transit,28713.485714285714,88339.40000000001,32.5036005613415
12702,Semi-Skilled & General Labor,21314.791999999998,65585.208,32.49938919153843
28515,Street Transit,21756.001249999998,66949.50249999999,32.4961358002623
38561,Street Transit,35384.62875,108896.825,32.4937193990734
13922,Street Transit,34993.37375,107694.10749999998,32.49330400922818
46990,Agriculture & Horticulture,23560.543,72512.41,32.49173900026216
25069,Street Transit,28975.108749999996,89177.59625,32.491466431514176
2103,Park & Zoo,6152.217142857144,18935.09142857143,32.49108759820391
45661,Street Transit,27957.554999999997,86048.04624999998,32.4906331037121
28795,Street Transit,38935.66875,119840.005,32.48970888310627
38093,Museum & Cultural Affairs,23190.485,71380.14749999999,32.48870422970197
13946,Street Transit,15554.1525,47875.96,32.48843991848936
5238,Dietary & Food,10572.665714285715,32542.860000000004,32.48843437327178
24462,Street Transit,31426.316,96740.744,32.48508818580101
45301,Street Transit,34703.9175,106831.7675,32.48464226710468
20301,Street Transit,25610.5925,78839.88375000001,32.48431032852708
42185,Street Transit,30367.586,93487.71099999998,32.48297094363558
54564,"Clerical, Secretarial & Steno",24954.308888888885,76828.9611111111,32.480341433746084
11989,Street Transit,20680.87125,63674.221249999995,32.47918992020652
14247,Street Transit,37163.7225,114427.645,32.47792305784149
31990,Street Transit,23716.938000000002,73032.626,32.47444231294654
2427,Street Transit,21608.56,66540.90699999999,32.4740989779415
29559,Street Transit,38515.659999999996,118605.80625,32.473671583004815
21175,Street Transit,27274.905,83992.61,32.4729818492365
16114,Street Transit,13242.175,40779.149,32.472906680813765
18107,Street Transit,31411.8475,96733.385,32.472602400918774
24249,Personnel,4886.530000000001,15048.880000000001,32.471054324308525
42949,Street Transit,33298.06375,102556.6975,32.46795632240401
21664,Street Transit,38285.23125,117917.2175,32.4678889662572
38919,Housekeeping & Laundry,29451.21625,90709.16124999999,32.467741785011825
5096,Street Transit,37992.25625,117018.26500000001,32.46694543796218
36918,Street Transit,34764.8975,107078.59625,32.466710171314936
54957,Street Transit,23035.24875,70950.68125,32.46656458284536
30283,Street Transit,38617.21625,118945.8475,32.46621640154356
6428,Street Transit,39071.82375,120354.65999999999,32.463906050667255
44562,Street Transit,38717.0075,119265.14374999999,32.46296971825853
33538,Street Transit,29461.233749999996,90753.8175,32.46280383742535
43782,Street Transit,27608.15428571429,85053.27714285713,32.459836014717105
45627,Street Transit,33903.775,104451.38125,32.4589053723021
44116,Semi-Skilled & General Labor,21393.207000000002,65915.96100000001,32.45527589289034
34116,Computer Operatns & Repro Svcs,14710.504,45325.574,32.455196265137204
